kf,Dehnung
575.755413961001,0
579.325597916693,0.001001001001001
580.982742637999,0.002002002002002
582.267260042161,0.003003003003003
583.351333408345,0.004004004004004
584.304022883947,0.005005005005005
585.161604815637,0.00600600600600601
585.946033156497,0.00700700700700701
586.671832255609,0.00800800800800801
587.349222652093,0.00900900900900901
587.985730432878,0.01001001001001
588.587094260365,0.011011011011011
589.157812588459,0.012012012012012
589.701491869624,0.013013013013013
590.221077843591,0.014014014014014
590.719014693632,0.015015015015015
591.197357862104,0.016016016016016
591.657856061931,0.017017017017017
592.102012206019,0.018018018018018
592.531129539898,0.019019019019019
592.946347157686,0.02002002002002
593.348667751211,0.021021021021021
593.738979578275,0.022022022022022
594.118074061289,0.023023023023023
594.486660036837,0.024024024024024
594.845375405885,0.025025025025025
595.194796743376,0.026026026026026
595.535447289014,0.027027027027027
595.867803641541,0.028028028028028
596.19230140544,0.029029029029029
596.509339984311,0.03003003003003
596.819286673873,0.031031031031031
597.122480176136,0.032032032032032
597.419233632016,0.033033033033033
597.709837250931,0.034034034034034
597.994560601141,0.035035035035035
598.273654613,0.036036036036036
598.54735333804,0.037037037037037
598.815875499416,0.038038038038038
599.079425863251,0.039039039039039
599.338196455625,0.04004004004004
599.592367645979,0.041041041041041
599.842109114475,0.042042042042042
600.0875807182,0.043043043043043
600.328933268883,0.044044044044044
600.566309232955,0.045045045045045
600.799843363253,0.046046046046046
601.029663270373,0.047047047047047
601.255889940591,0.048048048048048
601.478638206354,0.049049049049049
601.698017174548,0.0500500500500501
601.914130617111,0.0510510510510511
602.127077327954,0.0520520520520521
602.336951449692,0.0530530530530531
602.543842773263,0.0540540540540541
602.747837013123,0.0550550550550551
602.949016060427,0.0560560560560561
603.147458216317,0.0570570570570571
603.343238407187,0.0580580580580581
603.536428383612,0.0590590590590591
603.72709690443,0.0600600600600601
603.915309907316,0.0610610610610611
604.101130667035,0.0620620620620621
604.284619942457,0.0630630630630631
604.465836113285,0.0640640640640641
604.644835307373,0.0650650650650651
604.821671519414,0.0660660660660661
604.996396721693,0.0670670670670671
605.169060967564,0.0680680680680681
605.339712488211,0.0690690690690691
605.508397783224,0.0700700700700701
605.675161705474,0.0710710710710711
605.84004754071,0.0720720720720721
606.003097082281,0.0730730730730731
606.164350701342,0.0740740740740741
606.323847412873,0.0750750750750751
606.481624937809,0.0760760760760761
606.63771976157,0.0770770770770771
606.792167189224,0.0780780780780781
606.945001397538,0.0790790790790791
607.096255484108,0.0800800800800801
607.245961513789,0.0810810810810811
607.39415056258,0.0820820820820821
607.540852759154,0.0830830830830831
607.686097324171,0.0840840840840841
607.829912607527,0.0850850850850851
607.972326123659,0.0860860860860861
608.113364585043,0.0870870870870871
608.253053933986,0.0880880880880881
608.391419372817,0.0890890890890891
608.52848539258,0.0900900900900901
608.664275800322,0.0910910910910911
608.798813745044,0.0920920920920921
608.932121742411,0.0930930930930931
609.064221698281,0.0940940940940941
609.195134931134,0.0950950950950951
609.324882193444,0.0960960960960961
609.453483692075,0.0970970970970971
609.580959107742,0.0980980980980981
609.70732761359,0.0990990990990991
609.832607892946,0.1001001001001
609.956818156282,0.101101101101101
610.079976157432,0.102102102102102
610.202099209108,0.103103103103103
610.323204197747,0.104104104104104
610.443307597721,0.105105105105105
610.56242548495,0.106106106106106
610.680573549952,0.107107107107107
610.797767110334,0.108108108108108
610.914021122792,0.109109109109109
611.029350194602,0.11011011011011
611.143768594666,0.111111111111111
611.257290264096,0.112112112112112
611.369928826401,0.113113113113113
611.481697597253,0.114114114114114
611.592609593884,0.115115115115115
611.702677544119,0.116116116116116
611.81191389506,0.117117117117117
611.920330821441,0.118118118118118
612.027940233671,0.119119119119119
612.134753785571,0.12012012012012
612.24078288183,0.121121121121121
612.346038685184,0.122122122122122
612.450532123334,0.123123123123123
612.554273895611,0.124124124124124
612.65727447941,0.125125125125125
612.759544136384,0.126126126126126
612.861092918427,0.127127127127127
612.961930673445,0.128128128128128
613.062067050923,0.129129129129129
613.161511507309,0.13013013013013
613.260273311201,0.131131131131131
613.358361548367,0.132132132132132
613.455785126593,0.133133133133133
613.552552780365,0.134134134134134
613.648673075403,0.135135135135135
613.744154413037,0.136136136136136
613.839005034442,0.137137137137137
613.933233024742,0.138138138138138
614.026846316969,0.139139139139139
614.119852695905,0.14014014014014
614.212259801798,0.141141141141141
614.304075133957,0.142142142142142
614.395306054243,0.143143143143143
614.485959790441,0.144144144144144
614.576043439532,0.145145145145145
614.665563970867,0.146146146146146
614.754528229239,0.147147147147147
614.84294293786,0.148148148148148
614.930814701259,0.149149149149149
615.01815000808,0.15015015015015
615.104955233804,0.151151151151151
615.191236643388,0.152152152152152
615.277000393829,0.153153153153153
615.362252536647,0.154154154154154
615.446999020307,0.155155155155155
615.531245692554,0.156156156156156
615.614998302701,0.157157157157157
615.698262503836,0.158158158158158
615.781043854971,0.159159159159159
615.863347823137,0.16016016016016
615.945179785412,0.161161161161161
616.026545030894,0.162162162162162
616.107448762625,0.163163163163163
616.187896099454,0.164164164164164
616.267892077856,0.165165165165165
616.347441653697,0.166166166166166
616.426549703957,0.167167167167167
616.505221028395,0.168168168168168
616.583460351187,0.169169169169169
616.661272322504,0.17017017017017
616.738661520056,0.171171171171171
616.815632450598,0.172172172172172
616.89218955139,0.173173173173173
616.968337191627,0.174174174174174
617.04407967382,0.175175175175175
617.119421235157,0.176176176176176
617.194366048816,0.177177177177177
617.268918225253,0.178178178178178
617.343081813455,0.179179179179179
617.416860802156,0.18018018018018
617.490259121036,0.181181181181181
